Front,Back
"Initiation stage","The first step in the Conception phase where a project is initially considered."
"Feasibility stage","The stage in the Conception phase used to assess if the project is viable."
"Proposal preparation","Creating the initial proposal document to secure project approval."
"Project definition","Defining the overall execution plan for the project."
"System definition","Defining the detailed technical requirements for what the end-item must do."
"User and system requirements","Translating what the user wants into specific technical targets for the system."
"Design stage","The stage where detailed functional and physical designs are created based on system requirements."
"Production/build stage","The stage where the system is physically fabricated, constructed, or assembled."
"Implementation stage","The stage focused on user acceptance, training, and installing the final system."
"System maintenance","Performing standard, periodic repairs and preventative maintenance on the operational system."
"System evaluation","Reviewing the operational system to check if it is delivering the expected benefits to the user."
"System improvement","Enhancing the system or implementing project extensions based on operational feedback."
"System termination","The final step in the life cycle when the operational system is retired."
"Expand project team","A project manager responsibility during the execution phase to bring more staff on board."
"Assign responsibilities","The task of delegating specific duties to team members during project execution."
"Change and quality control","Managing modifications to the project and ensuring the final product meets required standards."
"Task integration","Coordinating different project tasks to ensure they work together smoothly."
"Technical Review Process","A series of checks to ensure designs and manufactured items meet the functional and basic requirements."
"Functional vs Physical design","A design methodology that distinguishes what a system does (functional) from its physical hardware or software form."
"Preliminary and Critical Review","Review checkpoints to verify if a concept fits basic requirements and if the detailed design reflects the functional design."
"System fabrication","The actual physical construction, assembly, and manufacturing of the system."
"Testing stress and failure","Conducting destructive and non-destructive tests to check the design against requirements."
"Implementation planning","Creating a detailed plan for how the final product will be rolled out and installed."
"User training","Teaching the end-users how to properly operate and use the new system."
"Acceptance testing","Final tests performed to get the user's approval before full system rollout."
"Installation strategies: parallel, pilot, cold turkey","Different methods to roll out a new system, such as running old and new together (parallel), testing a small group (pilot), or an instant cutover (cold turkey)."
"Reassign personnel","A close-out activity involving moving project team members to new work or projects."
"Close work orders","A final close-out activity to officially finish and sign off on all tasks and subcontracted work."
"Transfer resources","Monitoring the disposition and handover of surplus materials and special project equipment."
"Post-completion Project Review","A postmortem evaluation of how well the project was managed and whether it met cost and schedule objectives."
"Post-installation System Review","Evaluating the fully operational end-item to ensure it is doing what it was intended to do and fulfilling user needs."
"Modern slavery","An illegal and unethical practice involving forced labor that can occur in the dark side of projects."
"Corruption and Money laundering","Illegal financial practices and bribery that project managers should attempt to resist."
"Conflict of interest","An unethical situation where personal interests improperly influence professional decisions on a project."
"Discrimination and Greenwashing","Unethical practices like sexism and making false claims about a project's environmental benefits."
