"Goal-oriented","Aims at a specific end result or deliverables."
"Unique and non-routine","Involves something new or different and is not a routine task."
"Cross-functional","Requires work across different functional areas, disciplines, or organizations."
"Unfamiliar and risky","Involves something new or different, carrying some level of risk."
"Time and resource-constrained","Has a target completion date and target cost, using limited resources."
"Temporary","The project has a distinct end, and the project team is disbanded when the work is done."
"Sequential process","Follows a logical sequence or progression of phases or stages."
"Single project manager head","A single person heads the project organization and integrates the work."
"Diverse skills and resources","Requires a unique variety of skills and resources, often performed by people from different areas or outside contractors."
"Temporary, goal-oriented team","The project team reflects the project itself; it is temporary and focused on achieving a specific goal."
"Two chains of command","People working in a project report to both a project manager and a functional manager."
"Shared accountability","Decision making, accountability, outcomes, and rewards are shared between the project team, functional units, and outside contractors."
"Stakeholder engagement","Project managers work with stakeholders to inform them about benefits and accommodate their interests and concerns."
"Outcomes and deliverables","The end items or products created by a project."
"Benefits to stakeholders","The value provided to project stakeholders by the project outcomes."
"Managing change","Dealing with the new or different results of a project, which not everyone may welcome or perceive as positive."
"Santa Maria del Fiore (1413)","An early historical project where Filippo Brunelleschi was mandated to build and complete a dome."
"Pratt & Whitney Engine (1939)","An early historical example where a memo established the role of a 'project engineer' to act as a chief engineer for a specific project."
"PMI Founding (1969)","The Project Management Institute was founded by 5 volunteers."
"Unfamiliar tasks","Situations where the work is different from the ordinary and routine."
"Greater resource effort","The job requires more people, capital, or equipment than are normally used by the department."
"Dynamic environment","An industry or environment with high innovation, high competition, rapid product change, and shifting markets."
"Multifunctional coordination","The job requires lateral relationships between areas to coordinate work and reconcile conflicts."
"Reputational impact","Failure to complete the work could result in financial ruin, damaged reputation, or loss of market share."
"Pure project","A form of basic project management where the project is a complete, self-contained organization."
"Matrix project","A form of basic project management where the project is created from resources borrowed from functional units."
"Program Management","Managing a longer time horizon effort consisting of several parallel or sequential projects coordinated to meet a common goal."
"Product Management","A single person has authority to oversee all aspects of a product's production, inventory, distribution, and sales."
"Project Portfolio Management","Selecting, prioritizing, and grouping projects into portfolios to align with company goals and allocate resources."
"New Product Development","A project environment focused on creating new products, like SpaceShipOne or Product J."
"Construction","A type of project environment focused on building infrastructure or facilities."
"Upgrade Projects","A type of project environment focused on improving existing facilities or systems."
"Defence","A project environment dealing with military equipment and systems."
"Sports Events","A project environment involving large-scale events like the 2010 South Africa FIFA World Cup."
"Disaster Recovery","A project environment focused on rebuilding and managing areas affected by disasters."
"Planning","A management function that initiates the cycle to organize and execute work."
"Organizing","A management function that arranges everything needed to execute the work."
"Execute work","The management function where the actual tasks are carried out to achieve a purpose or goal."
"Controlling","A management function that monitors the execution of work to ensure it stays on track."
"Leadership","The overarching function that encompasses planning, organizing, executing, and controlling to reach a purpose or goal."
