"Organized complex whole","A system is an organized or complex whole."
"Interacting parts","A system is a group of parts interacting in a coordinated way. The parts affect the system and are affected by it."
"Purpose driven","Human-made systems are designed to do something and have goals and objectives conceived by people."
"Subsystems","A system that functions as a component or part of a larger system."
"Elements","The smallest part of a system."
"Qualitative conditions","Attributes that describe or express the condition of a system, subsystem, or element in non-numerical terms."
"Quantitative conditions","Attributes that describe or express the condition of a system, subsystem, or element in numerical terms."
"Hierarchical structure","A way to conceptualize a system's structure where elements and subsystems are organized in a top-down hierarchy."
"Network structure","A way to conceptualize a system's structure where elements are linked together in a web or network of relationships."
"Inputs","The raw materials, resources, or prior steps necessary for the system to operate, produce outputs, and meet objectives."
"Process","The means by which the system transforms inputs into outputs."
"Outputs","The end-result of a system and the purpose for which the system exists."
"Feedback","Input that originates from the system itself."
"Interfaces","Where the output of one element becomes the input of another element."
"External influences","The environment refers to anything that influences the behavior or outcome of the system but is beyond the control of the decision maker or stakeholder."
"Decision maker control","A way to distinguish a system from its environment is to ask if the decision maker can control it; if not, it is part of the environment."
"Open vs. Closed systems","A closed system is viewed as self-contained without regard to its environment. An open system interacts with and adapts to its environment."
"Objectives and performance","The systems approach methodology accounts for the goals the system aims to achieve and the criteria used to measure its performance."
"Constraints and conflicts","Constraints are limitations like time and money that inhibit reaching goals. Conflicts happen when subsystem objectives oppose each other."
"System Integration","Designing, implementing, and operating a system so its elements and subsystems work together in unison to achieve predefined objectives."
"Modeling (Physical/Conceptual)","A physical model is a scaled-down abstraction of a real system. A conceptual model depicts elements and flows using a schematic diagram or math formulation."
"Conception and Design","The initial stages of a nonliving system's life cycle where the idea is formed and planned."
"Fabrication and installation","The stages in a system's life cycle where it is built and put into place for use."
"Operation","The stage in a system's life cycle where it is actively running and used."
"Decommission","The final stage of a system's life cycle when it is phased out or retired."
"Interdisciplinary effort","Systems Engineering is a multifunctional, interdisciplinary, and concurrent effort."
"Stakeholder requirements","Systems engineers work with stakeholders to determine their needs, which become the basis for defining what the system must do."
"Top-down analysis","The process of decomposing the system and its functions into smaller parts and subfunctions."
"Bottom-up synthesis","The process of building up and integrating smaller physical parts into successively larger modules."
"Verification and Validation","Checking to see that the integrated parts and results meet the predefined requirements."
"Total system oriented","Project management optimizes the overall project rather than focusing just on the individual elements."
"Optimizes overall mission","Project management emphasizes achieving the overall mission and objectives of the project."
"Recognizes synergy","Project management acknowledges the interactions, interdependencies, and synergy among project elements."
