"Extensive Intellectual Training","It focuses on intellectual training rather than just practical skills."
"Vital Knowledge and Skills","Society depends on the specific skills provided by professionals."
"Control over Services","The profession holds a monopoly over who can provide the service through accreditation and licensing systems."
"Autonomy","Professionals rely on their own individual judgement."
"Ethical Self-Regulation","The profession uses codes of conduct and standards of practice to regulate itself."
"Internal Goods and Aims","A profession has a specific internal aim or good that constitutes the practice. This aim is morally justifiable."
"Standards of Excellence","It is a cooperative human activity aimed at achieving specific standards of excellence appropriate to that practice."
"Inherent Moral Character","Professions are seen as practices with an inherently moral character that aim at a moral goal."
"Voluntary Organization","A profession consists of individuals in the same occupation who are voluntarily organized."
"Serving a Moral Ideal","Professionals earn a living by openly serving a moral ideal."
"Beyond Law and Public Opinion","Professionals serve their moral ideal in ways that go beyond what the law, morality, and public opinion require."
"Economic Self-Interest","The primary motivation in the business model is economic self-interest and making profits."
"Knowledge as Commodity","Specialized knowledge is treated merely as a commodity to gain a monopoly and increase profit."
"Regulation by Law Only","The law is the major constraint. Claims of high ethical self-regulation are just a smokescreen to keep authorities away and gain social status."
"Social Contract","A trust relationship and agreement exists between the profession and society."
"Duties: Specialized Knowledge","The profession has a duty to attain and retain specialized knowledge to serve the public good."
"Privileges: Self-Regulation","If the profession fulfills its duties, society grants it privileges like autonomy and internal self-regulation."
"Minimum Standards","The 'base' moral beliefs that are supported by almost everyone."
"Shared Ideas of Right/Wrong","Generally shared societal ideas about what is right and wrong."
"Individual Beliefs","The moral beliefs that a person subscribes to personally."
"Conscientious Objections","Situations where personal ethics clash with professional ethics, leading to objections based on conscience."
"Community Standards","The specific ethical standards upheld by a professional community."
"Formal Codes of Conduct","Rules that are usually formulated in an explicit, formal code of a society or institute."
"Priority over Personal Ethics","Professional ethics usually takes priority over a person's individual personal ethics."
"Preventing Harm","The negative face of professional ethics is based on the principle of 'First, do no harm'."
"Avoid Malpractice","It focuses on preventing harm and malpractice through rules and prohibitions, often inspired by past disasters."
"Aspirational Ethics","The positive face of ethics focused on the promotion of public interest and well-being."
"Promoting Public Well-Being","Based on the principle to 'Do good' and focusing on the positive role technology plays to improve humankind."
"Integrity and Honesty","Acting with fidelity, honesty, confidentiality, and disclosing conflicts of interest."
"Competency and Training","Maintaining the required education, training, and experience for the profession."
"Public Interest and Safety","Prioritizing the health, safety, and well-being of the public."
"Environmental Protection","Avoiding adverse impacts on the environment so future generations are not compromised."
"Dignity of Profession","Upholding the standing and reputation of the engineering profession."
"Exercising Judgement","Ethical decision-making is not an algorithm but requires the meaningful interpretation of general principles using judgement."
"Real-world Constraints","Engineering decisions must be made in practical real life with time, financial, and other resource constraints."
"Complexity and Uncertainty","Engineering practice involves problem-solving that is riddled with complexities and uncertainties."
"Virtues and Character Traits","Because perfect decisions are often impossible, professionals rely on certain habits, virtues, and character traits to cope and act ethically."
